,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
348,53,18.191974595842957,12,18,36.18,47282.0,28,716,85,Evil Geniuses,71149.0,13.504618937644342,19.03002309468822,10393.0,2283
349,25,18.191974595842957,28,24,36.18,34165.0,12,771,73,Team Liquid,43175.0,13.504618937644342,19.03002309468822,1065.0,1704
350,48,12.0,29,42,45.46,76527.0,25,1335,110,Tundra Esports,83346.0,22.0,41.0,10211.0,2549
351,67,42.0,25,37,45.46,104818.0,29,1133,117,Team Spirit,101356.0,22.0,39.0,16588.0,2804
352,89,20.0,25,46,44.37,123856.0,35,1350,124,Team Aster,98833.0,21.0,31.0,31516.0,3101
353,50,46.0,36,46,44.37,121763.0,25,1490,118,PSG.LGD,82983.0,19.0,27.0,7935.0,3052
354,70,18.191974595842957,27,42,55.1,72179.0,37,1274,101,Evil Geniuses,103164.0,13.504618937644342,19.03002309468822,12013.0,2085
355,59,18.191974595842957,37,35,55.1,67121.0,26,971,97,PSG.LGD,78323.0,13.504618937644342,19.03002309468822,9328.0,1908
356,39,24.0,8,36,30.8,60499.0,16,710,84,Team Secret,66971.0,14.0,11.0,19624.0,2355
357,15,70.0,16,32,30.8,63754.0,8,698,72,Team Liquid,39597.0,13.0,17.0,2134.0,1863
358,58,34.0,27,37,47.47,123090.0,25,1344,122,OG,99833.0,22.0,40.0,20427.0,2860
359,61,22.0,25,47,47.47,101300.0,26,1289,120,Team Secret,86479.0,21.0,37.0,8352.0,2952
360,43,22.0,27,59,44.47,115087.0,19,1469,112,OG,80445.0,21.0,35.0,6913.0,2754
361,63,66.0,20,53,44.47,77131.0,27,1387,118,PSG.LGD,96713.0,21.0,37.0,14670.0,3100
362,15,18.191974595842957,57,32,36.1,81486.7612757732,9,621,69,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1538
363,66,18.191974595842957,10,64,36.1,81486.7612757732,56,687,97,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2922
364,16,7.0,32,56,23.5,38070.0,10,523,62,Evil Geniuses,33676.0,11.0,7.0,1054.0,1736
365,75,54.0,11,49,23.5,62127.0,32,625,82,Team Liquid,54369.0,10.0,6.0,18441.0,2782
366,2,18.191974595842957,13,36,16.22,81486.7612757732,1,268,40,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1201
367,17,18.191974595842957,1,24,16.22,81486.7612757732,12,270,52,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2011
368,93,68.0,56,44,38.31,119458.0,39,511,106,OG,49524.0,16.0,17.0,3188.0,2664
369,142,26.0,40,31,38.31,146773.0,55,603,116,Team Secret,70274.0,14.0,5.0,8117.0,3142
370,39,5.0,19,50,26.41,68973.0,10,592,68,Team Liquid,35264.0,13.0,18.0,2446.0,1895
371,53,15.0,11,57,26.41,59380.0,19,693,75,Nigma Galaxy,49229.0,13.0,19.0,17659.0,2257
372,24,11.0,35,50,34.42,56695.0,12,769,86,Team Secret,53864.0,16.0,27.0,1504.0,2115
373,67,46.0,12,49,34.42,82293.0,35,1103,105,Team Spirit,84164.0,15.0,29.0,14259.0,3018
374,121,16.0,22,43,48.8,144928.0,51,1210,124,Evil Geniuses,109869.0,23.0,29.0,17260.0,3190
375,62,11.0,51,45,48.8,122960.0,22,1319,114,OG,76890.0,23.0,31.0,10621.0,2679
376,28,18.191974595842957,22,27,48.3,81486.7612757732,15,1300,97,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2199
377,37,18.191974595842957,15,62,48.3,81486.7612757732,22,1098,98,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2282
378,65,24.0,21,29,26.41,61750.0,24,667,72,Nigma Galaxy,40466.0,12.0,12.0,3344.0,2080
379,58,13.0,24,47,26.41,84366.0,21,649,83,OG,51515.0,13.0,15.0,9435.0,2619
380,85,15.0,31,28,34.33,90384.0,40,739,101,OG,68830.0,15.0,9.0,14605.0,2731
381,66,29.0,40,18,34.33,82562.0,29,717,97,PSG.LGD,56552.0,15.0,9.0,6046.0,2459
382,84,37.0,7,49,34.1,98443.0,39,1111,110,Team Liquid,85445.0,17.0,25.0,22873.0,3410
